 Matt Carle                   TAM 0
 Stephen Weiss                FLA 0
 Mark Stuart                  WPG 0
 David Moss                   PHO 0
 Adrian Aucoin                COB 0
 Erik Johnson                 COL 0
 Adam Hall                    PHI 0
 Zach Redmond                 WPG 0
 Chad LaRose                  CAR 0
 Benoit Pouliot               TAM 0
 Travis Zajac                 NJD 0
 Adam Pardy                   BUF 0
 Erik Gudbranson              FLA 0
 Ales Hemsky                  EDM 0
 Alexander Sulzer             BUF 0
 Shane O'Brien                COL 0
 Victor Hedman                TAM 0
 Paul Bissonnette             PHO 0
 Alex Killorn                 TAM 0
 Chris Thorburn               WPG 0
 Dana Tyrell                  TAM 0
 Marek Zidlicky               NJD 0
 Colin Wilson                 NAS 0
 Mark Fistric                 EDM 0
 Nick Foligno                 COB 0
 Nicklas Grossmann            PHI 0
 Martin St. Louis             TAM 0
 John Mitchell                COL 0
 Ondrej Palat                 TAM 0
 Eric Tangradi                WPG 0
 Drew Stafford                BUF 0
 Kris Versteeg                FLA 0
 Nik Antropov                 WPG 0
 Henrik Tallinder             NJD 0
 David Schlemko               PHO 0
 Mike Santorelli              WPG 0
 Roman Josi                   NAS 0
 Scottie Upshall              FLA 0
 Brandon Dubinsky             COB 0
 Brian McGrattan              CGY 0
 Marcel Goc                   FLA 0
 Eric Belanger                EDM 0
 Jacob Josefson               NJD 0
 R.J. Umberger                COB 0
 Antoine Vermette             PHO 0
 Stefan Matteau               NJD 0
 Aaron Gagnon                 WPG 0
 Zac Dalpe                    CAR 0
 Artem Anisimov               COB 0
 Patrick Bordeleau            COL 0
 Stefan Elliott               COL 0
 Jack Johnson                 COB 0
 Oliver Lauridsen             PHI 0
 Ryan O'Reilly                COL 0
 Marcus Foligno               BUF 0
 Ladislav Smid                EDM 0
 Tim Brent                    CAR 0
 Tomas Vincour                COL 0
 Roman Cervenka               CGY 0
 Pierre-Cedric Labrie         TAM 0
 Ryan Wilson                  COL 0
 Steve Sullivan               NJD 0
 Joe Corvo                    CAR 0
 Sami Salo                    TAM 0
 Mark Cundari                 CGY 0
 Tyson Strachan               FLA 0
 Peter Mueller                FLA 0
 Vernon Fiddler               DAL 0
 Cam Atkinson                 COB 0
 Matt Fraser                  DAL 0
 Gabriel Landeskog            COL 0
 Maxwell Reinhart             CGY 0
 Adam Henrique                NJD 0
 Mikael Backlund              CGY 0
 Andy Greene                  NJD 0
 Gabriel Bourque              NAS 0
 Matt Calvert                 COB 0
 Teemu Hartikainen            EDM 0
 Tom Pyatt                    TAM 0
 Danny Briere                 PHI 0
 Ben Eager                    EDM 0
 Jim Slater                   WPG 0
 Simon Gagne                  PHI 0
 Grant Clitsome               WPG 0
 Zbynek Michalek              PHO 0
 Ryan Carter                  NJD 0
 Patrick Dwyer                CAR 0
 Tobias Enstrom               WPG 0
 Mark Giordano                CGY 0
 Nate Thompson                TAM 0
 Chris Conner                 PHO 0
 Brandon Manning              PHI 0
 Colton Gillies               COB 0
 Sean Couturier               PHI 0
 Sergei Kostitsyn             NAS 0
 Steve Bernier                NJD 0
 Justin Faulk                 CAR 0
 Corey Potter                 EDM 0
 Cory Sarich                  CGY 0
 Kyle Wellwood                WPG 0
 Magnus Paajarvi              EDM 0
 Bryce Salvador               NJD 0
 Kevin Westgarth              CAR 0
 Kevin Klein                  NAS 0
 Daniel Bang                  NAS 0
 Olli Jokinen                 WPG 0
 Antoine Roussel              DAL 0
 Mike Brown                   EDM 0
 Tim Wallace                  CAR 0
 James Wisniewski             COB 0
 Jochen Hecht                 BUF 0
 Stephen Gionta               NJD 0
 Zach Bogosian                WPG 0
 Anthony Peluso               WPG 0
 David van der Gulik          COL 0
 Brad Malone                  COL 0
 T.J. Brodie                  CGY 0
 Andrej Meszaros              PHI 0
 Lane MacDermid               DAL 0
 Patric Hornqvist             NAS 0
 Zach Boychuk                 CAR 0
 Jamie Oleksiak               DAL 0
 George Parros                FLA 0
 Boyd Gordon                  PHO 0
 Brett Bellemore              CAR 0
 Trevor Daley                 DAL 0
 Stephane Robidas             DAL 0
 Ryan Whitney                 EDM 0
 Nick Spaling                 NAS 0
 Filip Forsberg               NAS 0
 Ben Hanowski                 CGY 0
 Ron Hainsey                  WPG 0
 Anton Lander                 EDM 0
 Matt Anderson                NJD 0
 Greg Rallo                   FLA 0
 Austin Watson                NAS 0
 Tom Kostopoulos              NJD 0
 Kent Huskins                 PHI 0
 Erik Cole                    DAL 0
 Brett Connolly               TAM 0
 Ruslan Fedotenko             PHI 0
 Jeff Petry                   EDM 0
 Jeremy Welsh                 CAR 0
 Andrej Sekera                BUF 0
 Chris Terry                  CAR 0
 Paul Byron                   CGY 0
 Kevin Henderson              NAS 0
 Blair Jones                  CGY 0
 Shawn Horcoff                EDM 0
 Ryan Johansen                COB 0
 Ed Jovanovski                FLA 0
 Eric Brewer                  TAM 0
 Jack Skille                  FLA 0
 Tyson Barrie                 COL 0
 Craig Smith                  NAS 0
 Cody McLeod                  COL 0
 Kyle Chipchura               PHO 0
 Drew Shore                   FLA 0
 Steve Downie                 COL 0
 Brendan Mikkelson            TAM 0
 Mattias Tedenby              NJD 0
 Andrei Loktionov             NJD 0
 Jay Rosehill                 PHI 0
 Andreas Nodl                 CAR 0
 Derek Meech                  WPG 0
 Patrick Kaleta               BUF 0
 Colton Sceviour              DAL 0
 Scott Hartnell               PHI 0
 Brett Carson                 CGY 0
 Luke Schenn                  PHI 0
 David Rundblad               PHO 0
 Colby Robak                  FLA 0
 Derek Smith                  CGY 0
 Cody Goloubef                COB 0
 Anton Babchuk                CGY 0
 Derek Morris                 PHO 0
 Tom Wandell                  DAL 0
 Brandon McMillan             PHO 0
 Lauri Korpikoski             PHO 0
 Luke Adam                    BUF 0
 Milan Hejduk                 COL 0
 Rickard Rakell               ANA 0
 Steven Pinizzotto            VAN 0
 Dmitrij Jaskin               STL 0
 Andrej Sustr                 TAM 0
 Nick Holden                  COB 0
 Frank Corrado                VAN 0
 J.T. Wyman                   TAM 0
 Nicklas Jensen               VAN 0
 Chad Ruhwedel                BUF 0
 Andreas Lilja                PHI 0
 Mark Scheifele               WPG 0
 Drew LeBlanc                 CHI 0
 Matt Pelech                  SAN 0
 Trevor Smith                 PIT 0
 Andrew Gordon                VAN 0
 Mike Blunden                 MON 0
 Harri Pesonen                NJD 0
 Darroll Powe                 NYR 0
 Michael Caruso               FLA 0
 Ryan Murphy                  CAR 0
 Nicolas Blanchard            CAR 0
 Jake Dowell                  MIN 0
 Brett Sutter                 CAR 0
 John Scott                   BUF 0
 Sean Collins                 COB 0
 Mike Angelidis               TAM 0
 Jordan Hendry                ANA 0
 Chris Brown                  PHO 0
 Tim Sestito                  NJD 0
 Derek Joslin                 VAN 0
 Darren Helm                  DET 0
 Matt Konan                   PHI 0
 Marc-Andre Gragnani          CAR 0
 Greg Pateryn                 MON 0
 Brian Lee                    TAM 0
 Nick Petrecki                SAN 0
 Jan Mursak                   DET 0
 Mark Eaton                   PIT 0
 Nick Drazenovic              COB 0
 Manny Malhotra               VAN 0
 Jonathan Audy-Marchessault   COB 0
 Scott Laughton               PHI 0
 Cameron Schilling            WAS 0
 Eric Boulton                 NYI 0
 Chris Summers                PHO 0
 Theo Peckham                 EDM 0
 Ben Street                   CGY 0
 Zenon Konopka                MIN 0
 Devante Smith-Pelly          ANA 0
 Ryan Spooner                 BOS 0
 Christian Thomas             NYR 0
 Alex Petrovic                FLA 0
 Bill Sweatt                  VAN 0
 Mike Komisarek               TOR 0
 Patrice Cormier              WPG 0
 Johan Larsson                BUF 0
 Mark Stone                   OTT 0
 Joonas Rask                  NAS 0
 Bracken Kearns               SAN 0
 Scott Timmins                FLA 0
 Alexander Urbom              NJD 0
 Cody McCormick               BUF 0
 Matt Ellis                   BUF 0
 Quinton Howden               FLA 0
 Michal Jordan                CAR 0
 Chris VandeVelde             EDM 0
 Jared Staal                  CAR 0
 Eric Gelinas                 NJD 0
 Eric Selleck                 FLA 0
 Mark Barberio                TAM 0
 Brandon Bollig               CHI 0
 Aaron Johnson                BOS 0
 Eric Wellwood                PHI 0
 Mike Hoffman                 OTT 0
 Riley Sheahan                DET 0
 Nate Prosser                 MIN 0
 Nick Bjugstad                FLA 0
