 Name,Team,GP,G,A,Pts,+/-,PIM,Hits,BkS,FW,FL,FO%,PPG,PPA,SHG,SHA,GW,SOG,Pct
 Ryan Johansen,COB,67,9,12,21,-2,24,68,24,97,118,0.451,3,1,0,0,3,99,0.091
 Kevin Klein,NAS,66,4,17,21,-8,4,84,151,0,0,N/A,0,1,0,1,2,91,0.044
 Jim Slater,WPG,78,13,8,21,-9,42,163,73,634,531,0.544,0,0,1,0,1,118,0.11
 Eric Brewer,TAM,82,1,20,21,-5,49,197,176,0,0,N/A,0,3,0,1,0,83,0.012
 Eric Nystrom,NAS,74,16,5,21,-10,24,176,38,14,15,0.483,0,0,0,0,1,102,0.157
 Matt Niskanen,PIT,75,4,17,21,9,47,105,69,0,0,N/A,3,5,0,0,0,118,0.034
 Paul Gaustad,NAS,70,7,14,21,-1,76,114,47,659,491,0.573,0,0,0,1,3,75,0.093
 Radek Dvorak,CAR,73,4,17,21,-16,12,51,56,10,15,0.4,0,0,1,0,0,83,0.048
 Jarret Stoll,LOS,78,6,15,21,2,60,165,46,662,542,0.55,1,7,0,0,0,133,0.045
 Corey Potter,EDM,62,4,17,21,-16,24,90,79,0,0,N/A,1,10,0,0,0,98,0.041
 Brad Stuart,SAN,81,6,15,21,16,29,177,115,0,0,N/A,1,0,1,0,2,96,0.063
 Cody Franson,TOR,57,5,16,21,-1,22,102,53,0,0,N/A,2,5,0,0,0,65,0.077
 Derek Dorsett,NYR,77,12,8,20,-11,235,199,40,14,14,0.5,2,1,1,0,1,137,0.088
 Mason Raymond,TOR,55,10,10,20,4,18,32,13,7,18,0.28,1,0,1,0,2,125,0.08
 Vladimir Sobotka,STL,73,5,15,20,12,42,152,29,281,220,0.561,0,1,1,0,1,117,0.043
 Ruslan Fedotenko,PHI,73,9,11,20,-7,16,86,57,16,18,0.471,1,1,0,0,1,94,0.096
 Slava Voynov,LOS,54,8,12,20,12,12,74,47,0,0,N/A,3,3,0,0,2,86,0.093
 Ryan Whitney,STL,51,3,17,20,-16,16,18,85,0,0,N/A,2,8,0,0,0,41,0.073
 Luke Adam,BUF,52,10,10,20,-6,14,26,15,114,145,0.44,0,3,0,0,0,89,0.112
 Shane O'Brien,CGY,76,3,17,20,2,105,138,86,0,0,N/A,1,1,0,1,0,114,0.026
 Matt Gilroy,FLA,67,3,17,20,2,18,59,75,0,0,N/A,0,0,0,0,0,80,0.038
 Anthony Stewart,SAN,77,9,11,20,-2,30,92,15,3,14,0.176,0,2,0,0,1,64,0.141
 Maxim Lapierre,STL,82,9,10,19,-3,130,244,24,251,231,0.521,0,0,0,0,0,103,0.087
 Carl Gunnarsson,TOR,76,4,15,19,-9,20,114,152,0,1,0,0,6,0,0,0,89,0.045
 Gabriel Bourque,NAS,43,7,12,19,-2,6,66,19,0,1,0,0,0,0,0,1,59,0.119
 Adam Burish,SAN,65,6,13,19,6,76,69,36,217,172,0.558,0,2,0,0,1,82,0.073
 Andrew MacDonald,NYI,75,5,14,19,-5,26,48,185,0,0,N/A,1,1,0,0,0,71,0.07
 Taylor Pyatt,NYR,73,9,10,19,-4,23,137,20,6,5,0.545,0,1,0,0,1,111,0.081
